Código;Grupo/Família (Abrev.);Nome do produto;Unidade;Preco_Unit;Cobre_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg
F147B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F149;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;12.1;4.9;0.0;0.03;17.03
F149;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;7.74;4.267;0.0;0.025;12.032000000000002
F149;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* 100M;RL;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F149B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;12.1;4.9;0.0;0.03;17.03
F149B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;7.74;4.267;0.0;0.025;12.032000000000002
F149B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F179B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;12.1;4.9;0.0;0.03;17.03
F179B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;7.74;4.267;0.0;0.025;12.032000000000002
F179B;CEA-FLEX 16,0MM;CABO ELETRICO FLEXIVEL 16,0MM VERDE AUTOFLEX* METRO [BOBINA];M;0.0;8.64;0.0;0.0;0.025;8.665000000000001
F113;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERDE AUTOFLEX* 100M;RL;0.0;2.0;1.0;0.0;0.0133;3.0133
F113;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERDE AUTOFLEX* 100M;RL;0.0;1.1;1.5;0.0;0.016;2.616
F113;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERDE AUTOFLEX* 100M;RL;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F114;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM BRANCO AUTOFLEX* 100M;RL;0.0;2.0;1.0;0.0;0.0133;3.0133
F114;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM BRANCO AUTOFLEX* 100M;RL;0.0;1.1;1.5;0.0;0.016;2.616
F114;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM BRANCO AUTOFLEX* 100M;RL;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F109B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;2.0;1.0;0.0;0.0133;3.0133
F109B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;1.1;1.5;0.0;0.016;2.616
F109B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM PRETO AUTOFLEX* METRO [BOBINA];M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F110B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;2.0;1.0;0.0;0.0133;3.0133
F110B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;1.1;1.5;0.0;0.016;2.616
F110B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM VERMELHO AUTOFLEX* METRO [BOBINA];M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F111B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;2.0;1.0;0.0;0.0133;3.0133
F111B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;1.1;1.5;0.0;0.016;2.616
F111B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AMARELO AUTOFLEX* METRO [BOBINA];M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F112B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;2.0;1.0;0.0;0.0133;3.0133
F112B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;1.1;1.5;0.0;0.016;2.616
F112B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM AZUL AUTOFLEX* METRO [BOBINA];M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F140B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;2.0;1.0;0.0;0.0133;3.0133
F140B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;1.1;1.5;0.0;0.016;2.616
F140B;CEA-FLEX 2,5MM;CABO ELETRICO FLEXIVEL 2,5MM CINZA AUTOFLEX* METRO [BOBINA];M;0.0;1.32;1.5;0.0;0.016;2.8360000000000003
F115;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM PRETO AUTOFLEX* 100M;RL;0.0;3.126;1.709;0.0;0.0133;4.8483
F115;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM PRETO AUTOFLEX* 100M;RL;0.0;1.76;1.9;0.0;0.018;3.678
F115;CEA-FLEX 4,0MM;CABO ELETRICO FLEXIVEL 4,0MM PRETO AUTOFLEX* 100M;RL;0.0;1.98;1.8;0.0;0.018;3.798
